precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FLORESCU ŞTEFAN-VIOREL-PARTIDUL MIȘCAREA POPULARĂ-voturi","CIUCU CIPRIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","IONESCU TUDOR-TIM-PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","MUTU GABRIEL-PARTIDUL SOCIAL DEMOCRAT-voturi","BĂLĂŞOIU ANCA ELENA-ALIANȚA PRO BUCUREȘTI 2020-voturi","TULUGEA DANIL-PARTIDUL ROMÂNIA MARE-voturi","DINU RADU-LUCIAN-PARTIDUL FORȚA IDENTITĂȚII NAȚIONALE-voturi","TUDORAŞCU GEORGEL-PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","POPESCU FLORINA-BOGDANA-MIȘCAREA PATRIOȚILOR ROMÂNI-voturi","IOFCIU BOGDAN-GABRIEL-PARTIDUL ADER LA DEMOCRAŢIE, EDUCAŢIE ŞI RECONSTRUCŢIE-voturi","GHEORGHE-IOVU ALEXANDRA-DIANA-CRISTINA-PARTIDUL RE:START ROMÂNIA-voturi","TUDOSE CĂLIN-PARTIDUL ECOLOGIST ROMÂN-voturi","LUPU VIORICA-ELISABETA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","IANCU VLAD-ALEXANDRU-PARTIDUL SOCIAL DEMOCRAT INDEPENDENT-voturi","AMIEROAIE CĂTĂLIN-LIVIU-PARTIDUL ALIANȚA CREȘTIN DEMOCRATĂ-voturi","DANEŞ MIHAI-voturi"
42,"MUNICIPIUL BUCUREŞTI","A.D.P.D.U. SECTOR 6",1064,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:10:01",1172,1145,20,7,0,479,471,1,7,0,456,15,1200,729,34,202,21,152,12,8,0,0,0,0,0,10,2,0,3,12
42,"MUNICIPIUL BUCUREŞTI","CENTRUL EUROPEAN SECTOR 6",1160,"BUCUREŞTI SECTORUL 6",179196,1,PART,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:10:01",1391,1375,0,16,0,555,539,0,16,0,546,9,1400,845,45,206,18,233,9,9,0,2,1,1,2,6,2,0,0,12
42,"MUNICIPIUL BUCUREŞTI","CLUBUL SENIORILOR MIHAI EMINESCU",1275,"BUCUREŞTI SECTORUL 6",179196,1,PART,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:10:01",929,886,30,12,1,383,370,0,12,1,374,9,1000,617,21,181,16,107,8,5,0,0,1,0,1,12,1,3,1,17
42,"MUNICIPIUL BUCUREŞTI","CLUBUL SPORTIV SCOLAR NR. 5",1230,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:10:01",1399,1311,38,26,24,654,604,0,26,24,643,6,1400,751,30,423,23,104,7,2,2,3,2,3,2,12,3,0,1,26
42,"MUNICIPIUL BUCUREŞTI","COLEGIUL NAŢIONAL ”ELENA CUZA”",1097,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:10:01",1206,1193,1,12,0,516,504,0,12,0,502,14,1200,684,49,224,24,164,9,2,2,2,2,1,0,2,1,0,0,20
42,"MUNICIPIUL BUCUREŞTI","COLEGIUL NAŢIONAL ”ELENA CUZA”",1098,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:10:01",1057,1045,4,8,0,496,488,0,8,0,479,17,1200,704,39,242,19,134,15,2,0,1,1,0,0,5,2,1,2,16
42,"MUNICIPIUL BUCUREŞTI","COLEGIUL NAŢIONAL ”ELENA CUZA”",1100,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:10:01",954,946,2,6,0,360,354,0,6,0,352,8,1000,640,34,172,13,98,8,1,0,0,1,0,1,9,2,1,1,11
42,"MUNICIPIUL BUCUREŞTI","COLEGIUL NAŢIONAL ”ELENA CUZA”",1099,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:10:01",1131,1126,1,4,0,462,458,0,4,0,458,4,1200,719,50,202,21,145,7,0,1,0,0,0,0,13,3,2,0,14
42,"MUNICIPIUL BUCUREŞTI","COLEGIUL NAŢIONAL ”GRIGORE MOISIL”",1070,"BUCUREŞTI SECTORUL 6",179196,1,PART,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:10:01",1897,1847,12,38,0,782,743,1,38,0,764,18,2000,1218,36,412,20,233,15,5,1,1,0,0,2,5,8,0,0,26
42,"MUNICIPIUL BUCUREŞTI","COLEGIUL NAŢIONAL ”GRIGORE MOISIL”",1072,"BUCUREŞTI SECTORUL 6",179196,1,PART,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:10:01",1098,1087,6,5,0,426,421,0,5,0,419,7,1200,774,22,187,9,162,9,3,0,1,1,0,2,7,4,0,1,11
42,"MUNICIPIUL BUCUREŞTI","COLEGIUL NAŢIONAL ”GRIGORE MOISIL”",1069,"BUCUREŞTI SECTORUL 6",179196,1,PART,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:10:01",1254,1238,5,10,1,495,484,0,10,1,486,9,1400,905,39,219,16,170,13,4,1,3,1,1,0,5,1,0,0,13
42,"MUNICIPIUL BUCUREŞTI","COLEGIUL NAŢIONAL ”GRIGORE MOISIL”",1071,"BUCUREŞTI SECTORUL 6",179196,1,PART,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:10:01",1221,1213,2,6,0,460,454,0,6,0,452,8,1400,940,27,189,13,186,7,2,1,1,2,2,0,2,0,0,0,20
42,"MUNICIPIUL BUCUREŞTI","COLEGIUL TEHNIC ”CAROL I”",1245,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:10:01",1350,1343,4,3,0,526,523,0,3,0,461,15,1400,578,0,216,19,167,15,3,1,3,2,2,0,7,5,1,5,15
42,"MUNICIPIUL BUCUREŞTI","COLEGIUL TEHNIC ”CAROL I”",1244,"BUCUREŞTI SECTORUL 6",179196,1,PART,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:10:01",1410,1396,4,10,0,582,572,0,10,0,580,2,1400,818,57,267,15,190,7,7,1,1,0,0,0,5,3,1,2,24
42,"MUNICIPIUL BUCUREŞTI","COLEGIUL TEHNIC ”CAROL I”",1243,"BUCUREŞTI SECTORUL 6",179196,1,PART,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:10:01",1186,1177,3,5,1,440,434,0,5,1,431,9,1199,759,36,151,14,169,10,2,1,0,1,2,2,9,9,0,3,22
42,"MUNICIPIUL BUCUREŞTI","COLEGIUL TEHNIC ”CAROL I”",1242,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:10:01",1239,1228,2,9,0,489,480,0,9,0,480,9,1400,902,37,195,17,175,10,6,2,2,0,0,0,7,5,2,0,22
